Country,ISO,UNICEF Programme Region,UNICEF Reporting Region,Women aged 15-49_National,World Bank Income Group (2022),Year
Afghanistan,AFG,ROSA,South Asia,16.1,Low income,2003
Afghanistan,AFG,ROSA,South Asia,36,Low income,2008
Afghanistan,AFG,ROSA,South Asia,47.9,Low income,2011
Afghanistan,AFG,ROSA,South Asia,51.2,Low income,2012
Afghanistan,AFG,ROSA,South Asia,58.6,Low income,2015
Afghanistan,AFG,ROSA,South Asia,59.6,Low income,2010
Afghanistan,AFG,ROSA,South Asia,63.2,Low income,2014
Afghanistan,AFG,ROSA,South Asia,65.2,Low income,2018
Afghanistan,AFG,ROSA,South Asia,70.2,Low income,2017
Albania,ALB,ECARO,Eastern Europe and Central Asia,88.4,Upper middle income,2018
Albania,ALB,ECARO,Eastern Europe and Central Asia,90.6,Upper middle income,2002
Albania,ALB,ECARO,Eastern Europe and Central Asia,95.3,Upper middle income,2000
Albania,ALB,ECARO,Eastern Europe and Central Asia,97.1,Upper middle income,2005
Albania,ALB,ECARO,Eastern Europe and Central Asia,97.3,Upper middle income,2009
Algeria,DZA,MENA,Middle East and North Africa,79,Lower middle income,2000
Algeria,DZA,MENA,Middle East and North Africa,80.7,Lower middle income,2002
Algeria,DZA,MENA,Middle East and North Africa,89.4,Lower middle income,2006
Algeria,DZA,MENA,Middle East and North Africa,92.7,Lower middle income,2013
Algeria,DZA,MENA,Middle East and North Africa,95.3,Lower middle income,2019
Angola,AGO,ESARO,Eastern and Southern Africa,79.8,Lower middle income,2007
Angola,AGO,ESARO,Eastern and Southern Africa,81.6,Lower middle income,2016
Antigua and Barbuda,ATG,LACRO,Latin America and Caribbean,99.9,High income,2000
Antigua and Barbuda,ATG,LACRO,Latin America and Caribbean,99.9,High income,2005
Antigua and Barbuda,ATG,LACRO,Latin America and Caribbean,100,High income,2004
Antigua and Barbuda,ATG,LACRO,Latin America and Caribbean,100,High income,2007
Antigua and Barbuda,ATG,LACRO,Latin America and Caribbean,100,High income,2008
Argentina,ARG,LACRO,Latin America and Caribbean,95,Upper middle income,2020
Argentina,ARG,LACRO,Latin America and Caribbean,97.5,Upper middle income,2001
Argentina,ARG,LACRO,Latin America and Caribbean,98.1,Upper middle income,2012
Argentina,ARG,LACRO,Latin America and Caribbean,99.2,Upper middle income,2005
Armenia,ARM,ECARO,Eastern Europe and Central Asia,92.4,Upper middle income,2000
Armenia,ARM,ECARO,Eastern Europe and Central Asia,93,Upper middle income,2005
Armenia,ARM,ECARO,Eastern Europe and Central Asia,99.1,Upper middle income,2010
Armenia,ARM,ECARO,Eastern Europe and Central Asia,99.6,Upper middle income,2016
Australia,AUS,Industrialized,East Asia and Pacific,98.3,High income,2008
Azerbaijan,AZE,ECARO,Eastern Europe and Central Asia,66,Upper middle income,2000
Azerbaijan,AZE,ECARO,Eastern Europe and Central Asia,70,Upper middle income,2001
Azerbaijan,AZE,ECARO,Eastern Europe and Central Asia,76.9,Upper middle income,2006
Azerbaijan,AZE,ECARO,Eastern Europe and Central Asia,91.7,Upper middle income,2011
Bahamas,BHS,LACRO,Latin America and Caribbean,98,High income,2006
Bahamas,BHS,LACRO,Latin America and Caribbean,98,High income,2007
Bahrain,BHR,MENA,Middle East and North Africa,100,High income,2007
Bangladesh,BGD,ROSA,South Asia,33.3,Lower middle income,2000
Bangladesh,BGD,ROSA,South Asia,39.8,Lower middle income,2001
Bangladesh,BGD,ROSA,South Asia,47.7,Lower middle income,2006
Bangladesh,BGD,ROSA,South Asia,48.7,Lower middle income,2004
Bangladesh,BGD,ROSA,South Asia,51.7,Lower middle income,2007
Bangladesh,BGD,ROSA,South Asia,52.8,Lower middle income,2010
Bangladesh,BGD,ROSA,South Asia,54.6,Lower middle income,2011
Bangladesh,BGD,ROSA,South Asia,58.7,Lower middle income,2013
Bangladesh,BGD,ROSA,South Asia,63.9,Lower middle income,2014
Bangladesh,BGD,ROSA,South Asia,75.2,Lower middle income,2019
Bangladesh,BGD,ROSA,South Asia,81.9,Lower middle income,2018
Barbados,BRB,LACRO,Latin America and Caribbean,93.4,High income,2012
Barbados,BRB,LACRO,Latin America and Caribbean,100,High income,2003
Barbados,BRB,LACRO,Latin America and Caribbean,100,High income,2004
Barbados,BRB,LACRO,Latin America and Caribbean,100,High income,2005
Barbados,BRB,LACRO,Latin America and Caribbean,100,High income,2006
Barbados,BRB,LACRO,Latin America and Caribbean,100,High income,2007
Belarus,BLR,ECARO,Eastern Europe and Central Asia,99.4,Upper middle income,2005
Belarus,BLR,ECARO,Eastern Europe and Central Asia,99.7,Upper middle income,2012
Belarus,BLR,ECARO,Eastern Europe and Central Asia,99.9,Upper middle income,2019
Belize,BLZ,LACRO,Latin America and Caribbean,94,Upper middle income,2006
Belize,BLZ,LACRO,Latin America and Caribbean,96.2,Upper middle income,2011
Belize,BLZ,LACRO,Latin America and Caribbean,97.2,Upper middle income,2016
Benin,BEN,WCARO,West and Central Africa,81.1,Lower middle income,2001
Benin,BEN,WCARO,West and Central Africa,82.8,Lower middle income,2014
Benin,BEN,WCARO,West and Central Africa,83.2,Lower middle income,2018
Benin,BEN,WCARO,West and Central Africa,83.5,Lower middle income,2012
Benin,BEN,WCARO,West and Central Africa,84.1,Lower middle income,2006
Bhutan,BTN,ROSA,South Asia,51,Lower middle income,2000
Bhutan,BTN,ROSA,South Asia,88,Lower middle income,2007
Bhutan,BTN,ROSA,South Asia,97.3,Lower middle income,2010
Bhutan,BTN,ROSA,South Asia,97.9,Lower middle income,2012
Bolivia (Plurinational State of),BOL,LACRO,Latin America and Caribbean,79.1,Lower middle income,2004
Bolivia (Plurinational State of),BOL,LACRO,Latin America and Caribbean,82.6,Lower middle income,2000
Bolivia (Plurinational State of),BOL,LACRO,Latin America and Caribbean,85.8,Lower middle income,2008
Bolivia (Plurinational State of),BOL,LACRO,Latin America and Caribbean,90.1,Lower middle income,2012
Bolivia (Plurinational State of),BOL,LACRO,Latin America and Caribbean,95.6,Lower middle income,2016
Bosnia and Herzegovina,BIH,ECARO,Eastern Europe and Central Asia,87,Upper middle income,2012
Bosnia and Herzegovina,BIH,ECARO,Eastern Europe and Central Asia,98.9,Upper middle income,2006
Bosnia and Herzegovina,BIH,ECARO,Eastern Europe and Central Asia,99.2,Upper middle income,2000
Botswana,BWA,ESARO,Eastern and Southern Africa,94.1,Upper middle income,2007
Botswana,BWA,ESARO,Eastern and Southern Africa,96.8,Upper middle income,2000
Brazil,BRA,LACRO,Latin America and Caribbean,96.7,Upper middle income,2007
Brazil,BRA,LACRO,Latin America and Caribbean,96.8,Upper middle income,2003
Brazil,BRA,LACRO,Latin America and Caribbean,97.2,Upper middle income,2004
Brazil,BRA,LACRO,Latin America and Caribbean,97.2,Upper middle income,2015
Brazil,BRA,LACRO,Latin America and Caribbean,97.4,Upper middle income,2005
Brazil,BRA,LACRO,Latin America and Caribbean,97.8,Upper middle income,2006
Brazil,BRA,LACRO,Latin America and Caribbean,98.2,Upper middle income,2009
Brunei Darussalam,BRN,EAPRO,East Asia and Pacific,99,High income,2009
Burkina Faso,BFA,WCARO,West and Central Africa,73.4,Low income,2003
Burkina Faso,BFA,WCARO,West and Central Africa,85,Low income,2006
Burkina Faso,BFA,WCARO,West and Central Africa,92.8,Low income,2015
Burkina Faso,BFA,WCARO,West and Central Africa,94.3,Low income,2010
Burkina Faso,BFA,WCARO,West and Central Africa,98.3,Low income,2021
Burundi,BDI,ESARO,Eastern and Southern Africa,78,Low income,2000
Burundi,BDI,ESARO,Eastern and Southern Africa,92.4,Low income,2005
Burundi,BDI,ESARO,Eastern and Southern Africa,96,Low income,2012
Burundi,BDI,ESARO,Eastern and Southern Africa,98.9,Low income,2010
Burundi,BDI,ESARO,Eastern and Southern Africa,99.2,Low income,2017
Cabo Verde,CPV,WCARO,West and Central Africa,97.6,Lower middle income,2005
Cabo Verde,CPV,WCARO,West and Central Africa,98.8,Lower middle income,2018
Cambodia,KHM,EAPRO,East Asia and Pacific,37.7,Lower middle income,2000
Cambodia,KHM,EAPRO,East Asia and Pacific,69.3,Lower middle income,2006
Cambodia,KHM,EAPRO,East Asia and Pacific,89.1,Lower middle income,2011
Cambodia,KHM,EAPRO,East Asia and Pacific,95.3,Lower middle income,2014
Cambodia,KHM,EAPRO,East Asia and Pacific,98.7,Lower middle income,2022
Cameroon,CMR,WCARO,West and Central Africa,75.3,Lower middle income,2000
Cameroon,CMR,WCARO,West and Central Africa,82,Lower middle income,2006
Cameroon,CMR,WCARO,West and Central Africa,82.8,Lower middle income,2014
Cameroon,CMR,WCARO,West and Central Africa,83.3,Lower middle income,2004
Cameroon,CMR,WCARO,West and Central Africa,84.7,Lower middle income,2011
Cameroon,CMR,WCARO,West and Central Africa,87,Lower middle income,2018
Canada,CAN,Industrialized,North America,100,High income,2007
Central African Republic,CAF,WCARO,West and Central Africa,51.8,Low income,2019
Central African Republic,CAF,WCARO,West and Central Africa,62,Low income,2000
Central African Republic,CAF,WCARO,West and Central Africa,68.2,Low income,2010
Central African Republic,CAF,WCARO,West and Central Africa,69.3,Low income,2006
Chad,TCD,WCARO,West and Central Africa,38.9,Low income,2004
Chad,TCD,WCARO,West and Central Africa,41.6,Low income,2000
Chad,TCD,WCARO,West and Central Africa,53.2,Low income,2010
Chad,TCD,WCARO,West and Central Africa,54.7,Low income,2015
China,CHN,EAPRO,East Asia and Pacific,88.9,Upper middle income,2003
China,CHN,EAPRO,East Asia and Pacific,89.4,Upper middle income,2000
China,CHN,EAPRO,East Asia and Pacific,89.7,Upper middle income,2004
China,CHN,EAPRO,East Asia and Pacific,89.7,Upper middle income,2006
China,CHN,EAPRO,East Asia and Pacific,89.8,Upper middle income,2005
China,CHN,EAPRO,East Asia and Pacific,90.1,Upper middle income,2002
China,CHN,EAPRO,East Asia and Pacific,90.3,Upper middle income,2001
China,CHN,EAPRO,East Asia and Pacific,90.9,Upper middle income,2007
China,CHN,EAPRO,East Asia and Pacific,91,Upper middle income,2008
China,CHN,EAPRO,East Asia and Pacific,92.2,Upper middle income,2009
China,CHN,EAPRO,East Asia and Pacific,93.7,Upper middle income,2011
China,CHN,EAPRO,East Asia and Pacific,94.1,Upper middle income,2010
China,CHN,EAPRO,East Asia and Pacific,95,Upper middle income,2012
China,CHN,EAPRO,East Asia and Pacific,95.6,Upper middle income,2013
China,CHN,EAPRO,East Asia and Pacific,96.2,Upper middle income,2014
China,CHN,EAPRO,East Asia and Pacific,96.5,Upper middle income,2015
China,CHN,EAPRO,East Asia and Pacific,96.6,Upper middle income,2016
China,CHN,EAPRO,East Asia and Pacific,99.2,Upper middle income,2018
Colombia,COL,LACRO,Latin America and Caribbean,90.8,Upper middle income,2000
Colombia,COL,LACRO,Latin America and Caribbean,93.5,Upper middle income,2005
Colombia,COL,LACRO,Latin America and Caribbean,97,Upper middle income,2010
Colombia,COL,LACRO,Latin America and Caribbean,97.2,Upper middle income,2016
Comoros,COM,ESARO,Eastern and Southern Africa,74.3,Lower middle income,2000
Comoros,COM,ESARO,Eastern and Southern Africa,75,Lower middle income,2004
Comoros,COM,ESARO,Eastern and Southern Africa,92.1,Lower middle income,2012
Congo,COG,WCARO,West and Central Africa,85.8,Lower middle income,2005
Congo,COG,WCARO,West and Central Africa,92.6,Lower middle income,2012
Congo,COG,WCARO,West and Central Africa,93.5,Lower middle income,2015
Cook Islands,COK,EAPRO,East Asia and Pacific,100,Not Classified,2008
Costa Rica,CRI,LACRO,Latin America and Caribbean,89.9,Upper middle income,2008
Costa Rica,CRI,LACRO,Latin America and Caribbean,91.7,Upper middle income,2004
Costa Rica,CRI,LACRO,Latin America and Caribbean,91.7,Upper middle income,2006
Costa Rica,CRI,LACRO,Latin America and Caribbean,97.6,Upper middle income,2018
Costa Rica,CRI,LACRO,Latin America and Caribbean,98.1,Upper middle income,2011
Côte d'Ivoire,CIV,WCARO,West and Central Africa,84.8,Lower middle income,2006
Côte d'Ivoire,CIV,WCARO,West and Central Africa,87.3,Lower middle income,2005
Côte d'Ivoire,CIV,WCARO,West and Central Africa,87.6,Lower middle income,2000
Côte d'Ivoire,CIV,WCARO,West and Central Africa,90.6,Lower middle income,2012
Côte d'Ivoire,CIV,WCARO,West and Central Africa,93.2,Lower middle income,2016
Côte d'Ivoire,CIV,WCARO,West and Central Africa,95.2,Lower middle income,2021
Croatia,HRV,ECARO,Eastern Europe and Central Asia,98.4,High income,2021
Cuba,CUB,LACRO,Latin America and Caribbean,98.5,Upper middle income,2014
Cuba,CUB,LACRO,Latin America and Caribbean,99.1,Upper middle income,2019
Cuba,CUB,LACRO,Latin America and Caribbean,100,Upper middle income,2000
Cuba,CUB,LACRO,Latin America and Caribbean,100,Upper middle income,2004
